Lol,Date,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00
Segment:G,6/20/2007,2.7658,2.5159,2.3768,2.2401,2.2625,2.3391,2.417,2.6095,2.8869,3.357,3.7247,4.1945,4.3277,4.4029,4.4335,4.2115,4.2171,3.9845,3.6579,3.2192,2.9951,2.964,2.5896,2.3338
Segment:G,6/21/2007,2.1875,2.131,2.0423,2.032,2.0258,2.0962,2.0701,2.219,2.5451,3.2168,3.5454,3.9308,4.1871,4.2471,4.3668,4.4867,4.4098,4.1181,3.5162,2.9108,2.8224,2.6701,2.4415,2.1854
Segment:G,6/22/2007,2.0963,2.0609,1.9998,1.9399,1.9121,1.9704,2.0152,2.1937,2.4716,2.9473,3.416,3.7442,3.949,3.9529,3.9675,3.8683,3.8205,3.5628,3.222,2.9477,2.6641,2.6364,2.5501,2.2766
Segment:G,6/23/2007,2.1521,2.0419,1.9665,1.9218,1.8894,1.8719,1.766,1.686,1.9862,2.3361,2.6314,2.8572,2.9335,2.9836,2.9949,3.0243,2.973,3.0722,3.0641,2.7672,2.522,2.5379,2.3451,2.2266
Segment:G,6/24/2007,2.1259,2.057,2.0102,1.9622,1.9444,1.9204,1.7361,1.7244,1.8654,2.1177,2.4792,2.5074,2.8495,2.843,2.9267,2.9073,2.8378,2.7621,2.7091,2.6515,2.5419,2.7732,2.6189,2.3833
Segment:G,6/25/2007,2.187,2.1433,2.089,2.0814,2.0917,2.1731,2.28,2.5249,2.7443,3.4589,3.926,4.0999,4.4133,4.5596,4.7529,4.7492,4.6846,4.3847,3.9663,3.3786,3.3529,3.2246,2.848,2.5779
Segment:G,6/26/2007,2.4767,2.4443,2.358,2.2759,2.3186,2.3055,2.3974,2.6695,3.0823,3.7201,4.2735,4.5536,4.7456,4.895,4.6814,4.7831,4.6509,4.5001,4.1702,3.692,3.3824,3.2514,2.9683,2.7362
Segment:G,6/27/2007,2.6544,2.4948,2.3899,2.3321,2.3185,2.3921,2.4492,2.6573,3.0933,3.8945,4.5554,5.006,5.1954,5.4858,5.4462,5.364,5.2008,4.7272,4.6322,3.9396,3.7278,3.642,3.1658,2.7756
Segment:G,6/28/2007,2.6511,2.5093,2.4311,2.3587,2.3581,2.3848,2.4933,2.8529,3.2823,3.9502,4.4227,4.7647,4.912,5.0235,5.1353,4.975,4.9807,4.7908,4.5727,4.0568,3.679,3.4494,3.1034,2.7948
Segment:G,6/29/2007,2.586,2.5159,2.4446,2.3687,2.3648,2.437,2.5567,2.7531,3.0468,3.615,3.8877,3.9911,3.9107,3.9734,3.964,3.8491,3.7797,3.3294,3.1902,2.9888,2.821,2.809,2.5833,2.3452
Segment:G,6/30/2007,2.2626,2.2009,2.1286,2.0699,2.0819,2.0709,2.0095,2.0625,2.2359,2.7441,3.1265,3.3315,3.4342,3.3681,3.3858,3.2521,3.2243,3.0993,3.0229,2.8671,2.7871,2.821,2.6232,2.425
Segment:G,7/1/2007,2.2551,2.1188,2.0694,1.9901,1.9532,1.9192,1.7991,1.6978,1.9764,2.0806,2.4292,2.5466,2.6755,2.8307,2.9553,2.8863,2.8908,2.7238,2.8049,2.5478,2.4282,2.5138,2.3864,2.224
Segment:G,7/2/2007,2.077,1.9966,1.906,1.8743,1.8921,1.9374,1.9585,2.0536,2.3443,2.8085,3.1074,3.4255,3.4968,3.6045,3.8156,3.9106,3.7611,3.5818,3.1891,2.7056,2.5854,2.4811,2.3481,2.1098
Segment:G,7/3/2007,2.0091,1.9532,1.8994,1.8435,1.8715,1.9546,1.9638,2.0426,2.2085,2.7309,3.2795,3.5551,3.6612,3.8032,3.829,3.7905,3.5676,3.3529,3.1597,2.8168,2.7021,2.7278,2.5691,2.3561
Segment:G,7/4/2007,2.2437,2.0989,2.0548,1.9992,1.984,1.974,1.8767,1.7639,1.8973,2.3065,2.3712,2.4456,2.5641,2.6228,2.6717,2.691,2.726,2.6741,2.4464,2.377,2.5394,2.487,2.307,2.2443
Segment:G,7/5/2007,2.1313,2.0883,2.0476,1.9966,2.0282,2.0667,2.217,2.4659,2.6698,3.2371,3.5805,3.9037,4.0345,4.3003,4.2417,4.1647,4.0735,3.7771,3.7189,3.2597,2.924,2.8256,2.5187,2.3151
Segment:G,7/6/2007,2.2569,2.2061,2.1021,2.0769,2.0328,2.1087,2.1657,2.476,2.8122,3.3787,3.8306,4.1405,4.3498,4.4051,4.511,4.5351,4.4022,4.1222,3.8264,3.4377,3.2558,3.2341,3.0128,2.5924
Segment:G,7/7/2007,2.5196,2.4135,2.3068,2.2228,2.2137,2.1829,2.0833,2.0782,2.4884,2.9051,3.4641,3.6491,3.7354,3.6907,3.684,3.6154,3.8076,3.6149,3.5139,3.3646,3.1702,3.0757,2.8064,2.5697
Segment:G,7/8/2007,2.4262,2.3303,2.2492,2.194,2.168,2.1658,2.0456,1.9839,2.0289,2.3577,2.7719,3.0476,3.3368,3.4943,3.6527,3.5649,3.5033,3.4589,3.318,3.0694,2.8816,3.0096,2.879,2.6537
Segment:G,7/9/2007,2.4948,2.383,2.3242,2.2453,2.1948,2.2867,2.4196,2.6128,2.9749,3.709,4.5677,4.8605,5.0974,5.2017,5.3145,5.1994,5.1728,4.7287,4.4234,3.9169,3.6454,3.5177,3.3854,2.894
Segment:G,7/10/2007,2.7393,2.6197,2.5396,2.4539,2.4215,2.4521,2.5779,2.7927,3.1735,3.9826,4.5107,5.0145,5.2389,5.3229,4.8723,4.748,4.5636,4.2902,4.0957,3.5553,3.3481,3.083,2.8105,2.5291
Segment:G,7/11/2007,2.4431,2.3589,2.1802,2.17,2.1621,2.2628,2.4494,2.5605,2.9301,3.6321,4.1161,4.5808,4.7049,4.9348,4.8298,4.7036,4.5777,4.2987,3.8984,3.5726,3.4103,3.2665,2.9686,2.5601
Segment:G,7/12/2007,2.4349,2.3609,2.245,2.1571,2.1395,2.1779,2.1919,2.4115,2.6989,3.2376,3.6279,3.927,4.0056,4.0312,4.1589,4.3884,4.2693,4.0559,3.7252,3.3122,3.1257,2.8324,2.5609,2.2956
Segment:G,7/13/2007,2.2733,2.1528,2.1039,2.0355,2.0443,2.0976,2.1334,2.3062,2.5733,3.1932,3.8449,4.0815,4.2603,4.4062,4.3563,4.3082,4.1124,3.7291,3.5286,3.1997,3.0104,2.9538,2.6508,2.3093
Segment:G,7/14/2007,2.2754,2.1534,2.0384,2.0201,1.9687,1.9391,1.906,1.8708,2.1491,2.7362,3.105,3.3024,3.4533,3.4332,3.4225,3.387,3.2971,3.2289,3.1637,3.064,2.9228,2.9294,2.7468,2.519
Segment:G,7/15/2007,2.452,2.4143,2.248,2.1699,2.089,2.1074,1.9744,1.8599,2.0275,2.4331,2.8751,3.1647,3.515,3.6131,3.7054,3.7532,3.6175,3.3959,3.4551,3.2166,3.0774,3.1045,2.9226,2.7762
Segment:G,7/16/2007,2.5921,2.4606,2.3356,2.1898,2.2624,2.2881,2.4423,2.6086,2.9518,3.6482,3.9976,4.3981,4.6426,4.8133,4.976,4.8759,4.8406,4.3953,3.9639,3.3393,3.1483,3.0163,2.696,2.4034
Segment:G,7/17/2007,2.3942,2.2921,2.1975,2.1663,2.1252,2.2103,2.3111,2.5541,2.8306,3.4844,3.9821,4.4024,4.5012,4.7184,4.915,4.9257,4.9106,4.5544,4.0423,3.5529,3.3627,3.1704,2.7917,2.5109
Segment:G,7/18/2007,2.3618,2.2473,2.2602,2.1785,2.1668,2.2486,2.4346,2.6682,3.0389,3.6792,4.0442,4.4172,4.6221,4.7874,4.8299,4.9396,4.8273,4.5428,4.1173,3.6328,3.361,3.1787,2.8853,2.6007
Segment:G,7/19/2007,2.4667,2.4064,2.2876,2.2597,2.242,2.294,2.4674,2.6879,3.0578,3.6853,4.2588,4.5996,4.6749,4.7631,4.9606,4.9061,4.6581,4.0293,3.5725,3.2965,3.1856,3.0541,2.7497,2.4642
Segment:G,7/20/2007,2.3559,2.3255,2.2355,2.1472,2.1905,2.3237,2.4305,2.7027,2.9203,3.243,3.6741,4.0094,4.1179,4.1339,4.1876,4.3818,4.2006,3.8525,3.4945,3.1261,2.979,2.9735,2.7667,2.4339
Segment:G,7/21/2007,2.3074,2.1833,2.079,1.9821,1.9882,1.981,1.9073,1.8828,2.0792,2.4738,2.8719,3.1225,3.199,3.1433,3.0366,3.0789,3.1797,3.1673,3.0603,2.8526,2.8097,2.6927,2.5326,2.3174
Segment:G,7/22/2007,2.1827,2.0671,2.0024,2.0028,1.9384,1.9594,1.8951,1.79,1.8695,2.1107,2.3487,2.7374,3.741,3.1069,3.1783,3.0769,2.87,2.8279,2.6808,2.5506,2.5792,2.6951,2.4844,2.3362
Segment:G,7/23/2007,2.1661,2.1122,1.9902,1.9793,1.9707,2.0558,2.2548,2.3521,2.626,3.1828,3.5492,3.898,4.0057,3.9977,4.1488,4.2068,4.1705,3.8609,3.5716,3.1051,3.0677,2.8813,2.6203,2.3611
Segment:G,7/24/2007,2.265,2.1646,2.0564,2.0376,2.0313,2.0309,2.1106,2.208,2.5243,3.1321,3.5719,4.0533,4.1046,4.1638,4.1835,4.1445,4.1602,4.0801,3.54,3.0469,2.893,2.7883,2.6522,2.3604
Segment:G,7/25/2007,2.2397,2.2056,2.0476,2.0512,1.9948,2.068,2.1972,2.2647,2.5263,3.1589,3.5695,4.0059,4.2321,4.2569,4.3923,4.5772,4.5239,4.2712,3.9335,3.4748,3.408,3.284,2.9231,2.5306
Segment:G,7/26/2007,2.3924,2.2571,2.2008,2.166,2.1509,2.2483,2.3522,2.9295,3.364,3.8421,4.3539,4.8377,5.3155,5.6018,5.5507,5.5852,4.8691,4.595,4.0912,3.6105,3.3955,3.1836,3.095,2.6578
Segment:G,7/27/2007,2.4966,2.3824,2.2805,2.2104,2.2074,2.2582,2.4196,2.9689,3.7487,4.3343,4.7674,4.7462,5.0605,5.4348,5.727,5.0898,4.788,4.3661,3.8359,3.2549,3.2126,3.066,2.7872,2.5322
Segment:G,7/28/2007,2.3566,2.3214,2.2097,2.0868,2.1537,2.0781,2.0314,2.0626,2.3788,2.8066,3.146,3.4014,3.7841,3.9381,3.9101,3.9111,3.9118,3.7913,3.6669,3.4075,3.2276,3.2815,2.9387,2.8503
Segment:G,7/29/2007,2.5596,2.4619,2.3969,2.3008,2.2773,2.2928,2.2304,2.0943,2.1575,2.3297,2.6328,2.8873,3.1781,3.0881,3.1153,3.0187,2.9148,2.8106,2.7764,2.9478,2.5784,2.5671,2.4617,2.274
Segment:G,7/30/2007,2.1593,2.0709,2.1245,1.9974,2.0143,2.1253,2.3043,3.0134,3.6066,4.0871,4.4219,4.6848,5.076,4.9088,5.2174,5.301,4.4957,4.4358,3.9049,3.3063,3.2796,3.0259,2.8348,2.4949
Segment:G,7/31/2007,2.2648,2.2862,2.1955,2.2015,2.1464,2.1826,2.2988,2.6817,3.5112,4.1116,4.7686,5.231,4.9739,4.865,5.167,5.5145,4.7616,4.447,4.0548,3.535,3.3414,3.1362,2.7541,2.4858
Segment:G,8/1/2007,2.2885,2.1923,2.0759,2.0606,2.0595,2.1352,2.2453,2.4404,2.806,3.5268,3.9748,4.4211,4.7697,4.907,4.897,4.8793,4.7554,4.3982,4.0015,3.5621,3.3973,3.2529,2.9681,2.5454
Segment:G,8/2/2007,2.2855,2.1822,2.1072,2.0376,2.0518,2.1352,2.272,2.512,2.9114,3.5468,4.1281,4.4429,4.6631,4.8518,5.0068,5.2095,5.0343,4.6488,4.2544,3.8011,3.5191,3.3921,3.0136,2.69
Segment:G,8/3/2007,2.5131,2.3555,2.2683,2.1612,2.1648,2.2204,2.3616,2.62,2.8961,3.5221,3.9916,4.4039,5.103,5.3723,5.2509,5.2016,4.939,4.6705,4.4739,3.7877,3.4134,3.3184,3.1255,2.7675
Segment:G,8/4/2007,2.5962,2.3868,2.355,2.2384,2.2414,2.2404,2.226,2.1319,2.3691,3.0367,3.5378,3.9185,4.1569,4.5223,4.1839,4.3034,4.3315,4.0142,3.8076,3.5341,3.4579,3.3182,3.0222,2.7608
Segment:G,8/5/2007,2.6195,2.4769,2.4135,2.3422,2.2663,2.2939,2.2002,2.1895,2.2328,2.2994,2.7272,3.0666,3.2632,3.5622,3.5212,3.428,3.2132,2.8939,2.7826,2.6723,2.6194,2.6012,2.3998,2.3071
Segment:G,8/6/2007,2.2265,2.1578,2.1206,2.1035,2.0903,2.1814,2.3526,2.6494,2.9853,3.7654,4.356,4.899,4.7274,5.4162,5.0668,5.6057,5.2004,5.0711,4.0465,3.5825,3.45,3.1948,2.9077,2.7514
Segment:G,8/7/2007,2.5641,2.4334,2.3334,2.3391,2.2856,2.3679,2.4384,2.7318,3.0165,4.5084,4.4132,4.9622,5.0921,5.215,5.3718,5.6825,5.2431,4.6765,4.133,3.7113,3.5631,3.4693,3.0362,2.7804
Segment:G,8/8/2007,2.7078,2.6389,2.5161,2.4678,2.4474,2.5677,2.7955,3.0612,3.3104,4.1943,5.3302,5.4429,5.5004,5.7797,5.7385,5.516,5.5445,4.8491,4.2856,4.0667,4.0707,3.8256,3.5372,3.0534
Segment:G,8/9/2007,2.902,2.8017,2.708,2.6771,2.628,2.7178,2.8029,2.9819,3.3342,4.4343,5.3745,5.1134,5.1656,5.1708,4.9776,4.9267,4.777,4.4777,3.888,3.5035,3.4137,3.1104,2.8179,2.6052
Segment:G,8/10/2007,2.4995,2.422,2.3356,2.3051,2.3086,2.4834,2.6617,2.7887,2.9977,3.9861,4.5192,4.9129,5.1449,4.8463,4.7442,4.8263,4.703,4.5204,4.2298,3.7317,3.3802,3.1626,2.9073,2.642
Segment:G,8/11/2007,2.4792,2.3729,2.1338,2.0394,1.9911,2.0235,1.9559,1.9107,2.0706,2.683,3.1958,3.7701,3.8415,3.7106,3.4904,3.5763,3.7578,3.4019,3.2011,3.113,2.73,2.7777,2.5786,2.3873
Segment:G,8/12/2007,2.2625,2.2452,2.114,2.016,2.0001,1.9741,1.9348,1.8254,1.8533,2.1668,2.5164,2.8784,3.0076,3.0938,3.2778,3.3294,3.1402,2.9982,3.049,2.9513,2.9835,2.8845,2.6749,2.5323
Segment:G,8/13/2007,2.3998,2.2698,2.198,2.157,2.1781,2.2327,2.3985,2.5735,2.8307,3.9507,4.4656,4.81,4.5383,4.8594,4.9897,4.9414,5.3586,4.8511,3.9246,3.4112,3.2265,2.9789,2.6476,2.4024
Segment:G,8/14/2007,2.2594,2.1715,2.0832,2.0604,2.0222,2.1694,2.2032,2.2978,2.4463,3.5983,4.0382,4.4958,4.6771,4.7561,4.8461,4.9416,4.7058,4.5697,3.9671,3.245,3.0281,2.8822,2.494,2.3074
Segment:G,8/15/2007,2.0875,2.012,1.9772,1.9266,1.924,2.0225,2.1342,2.2141,2.4968,3.5113,4.0355,4.6638,4.9775,4.9041,5.0041,4.9173,4.6698,4.452,4.1953,3.5252,3.4456,3.2846,2.8686,2.5391
Segment:G,8/16/2007,2.4157,2.329,2.2575,2.1825,2.2044,2.3222,2.5436,2.7286,2.877,3.811,4.2749,4.145,4.4136,4.2125,4.4144,5.044,5.1149,4.5345,4.6393,3.5318,3.4241,3.1727,2.8148,2.6013
Segment:G,8/17/2007,2.5636,2.4175,2.3303,2.2979,2.2575,2.3749,2.6254,2.8586,2.9412,3.9628,4.1651,4.7154,5.3218,5.2667,5.1697,5.1349,5.2058,4.6755,4.3474,3.739,3.5149,3.3484,3.0174,2.7183
Segment:G,8/18/2007,2.5637,2.3938,2.3089,2.2384,2.1727,2.1456,2.0927,2.0578,2.2641,3.1129,3.5077,3.3461,3.3307,3.5261,3.4444,3.581,3.5836,3.5963,2.8499,2.6557,2.7224,2.728,2.3546,2.1132
Segment:G,8/19/2007,2.0444,2.0233,1.9563,1.9334,1.914,1.9112,1.9572,1.9334,1.8458,1.779,2.0912,2.3921,2.5631,2.5723,2.5241,2.3452,2.3425,2.157,2.1618,2.181,2.2187,2.1681,2.031,1.9943
Segment:G,8/20/2007,1.9793,1.9254,1.8635,1.8265,1.8378,1.9217,2.0358,2.2542,2.4559,3.3341,3.5974,3.7704,3.5469,3.8851,4.0307,4.0347,3.885,3.5262,3.0662,2.7811,2.6226,2.5224,2.2809,2.0118
Segment:G,8/21/2007,1.9216,1.955,1.8448,1.855,1.8191,1.911,2.089,2.4087,2.3951,3.2372,3.6574,3.5982,3.8557,3.4683,3.7765,3.6468,3.8193,3.8427,3.1091,2.7238,2.5967,2.398,2.1108,1.9211
Segment:G,8/22/2007,1.8565,1.8471,1.7941,1.7437,1.7275,1.839,1.9821,2.225,2.3192,3.1066,3.6768,3.7129,3.918,3.8345,3.938,3.8177,3.9599,3.699,3.0686,2.7449,2.7026,2.5074,2.1799,2.0386
Segment:G,8/23/2007,1.9965,1.9058,1.8391,1.8111,1.8252,1.9282,2.1135,2.2548,2.3048,2.9266,3.6923,3.7285,4.0005,3.9346,4.1537,3.8327,4.0268,4.052,3.1077,2.7433,2.7278,2.7266,2.3361,2.2023
Segment:G,8/24/2007,2.1027,2.0052,1.9667,1.9131,1.9196,2.0034,2.1549,2.411,2.5076,3.3964,3.9874,4.7254,4.752,4.7188,4.8765,5.0587,4.932,4.9345,4.5422,3.6711,3.5301,3.2715,2.9726,2.7313
Segment:G,8/25/2007,2.5734,2.416,2.3318,2.245,2.2012,2.2233,2.3032,2.3522,2.5077,3.1611,3.7134,4.175,4.2247,4.4734,4.4399,4.5182,4.2216,3.9952,3.9029,3.5855,3.475,3.1281,2.8114,2.5934
Segment:G,8/26/2007,2.4794,2.3544,2.2323,2.2109,2.1572,2.1291,2.1923,2.1436,2.1024,2.1479,2.4324,2.7994,3.2569,3.3138,3.3145,3.0212,3.0146,2.9474,2.8645,2.8804,2.6943,2.6027,2.4488,2.3408
Segment:G,8/27/2007,2.1658,2.0889,2.0506,1.9897,1.9685,2.08,2.2808,2.4755,2.6317,3.6964,4.2355,4.097,4.4011,4.3839,4.6826,4.9385,4.8787,4.6366,3.7298,3.2097,3.2086,2.9216,2.536,2.3586
Segment:G,8/28/2007,2.1853,2.0644,2.0357,1.9861,1.9843,2.0386,2.2255,2.401,2.5215,3.5106,4.6348,4.3937,4.6089,4.7157,4.5825,4.8995,4.5589,4.3807,3.8945,3.3224,3.1427,2.9197,2.5209,2.2766
Segment:G,8/29/2007,2.0972,2.0509,1.9262,1.8904,1.8888,1.9753,2.2576,2.3644,2.4595,3.2635,3.9557,4.183,4.4049,4.5344,4.3732,4.4689,4.7748,4.3237,3.6181,3.2786,3.4028,3.1373,2.6231,2.2914
Segment:G,8/30/2007,2.1821,2.1373,2.0302,2.0013,2.001,2.0772,2.2457,2.4623,2.4918,3.2932,3.8714,4.1186,4.4432,4.8171,5.107,4.8041,4.7661,4.6194,4.1082,3.4296,3.2314,2.9049,2.5151,2.3041
Segment:G,8/31/2007,2.2322,2.1237,2.0969,2.0203,2.0183,2.1186,2.3579,2.5161,2.6521,3.5122,4.0029,4.4344,4.6442,4.7815,4.7549,4.367,4.5627,4.3419,3.9125,3.4252,3.2188,2.9472,2.5663,2.2507
Segment:G,9/1/2007,2.1248,2.0546,1.971,1.8859,1.8628,1.8647,1.8493,1.8326,1.9335,2.3248,2.6136,2.7568,2.8584,2.8449,2.9706,3.1374,3.3305,3.1814,3.0562,2.9275,2.8595,2.7367,2.3797,2.1841
Segment:G,9/2/2007,2.0567,1.9964,1.9413,1.8939,1.8855,1.8393,1.8052,1.6946,1.6746,1.9578,2.3718,2.6134,2.895,2.9986,3.1086,2.9603,2.9684,2.7381,2.6043,2.6046,2.552,2.498,2.3276,2.2048
Segment:G,9/3/2007,2.0574,1.9661,1.9472,1.8753,1.8515,1.8577,1.8532,1.8539,1.8851,2.0877,2.2505,2.4875,2.7618,2.8971,2.9257,3.1458,3.0749,2.9148,2.6784,2.7404,2.7347,2.5608,2.3969,2.3038
Segment:G,9/4/2007,2.1347,2.066,1.9902,1.9568,1.9269,2.014,2.2419,2.4504,2.6248,3.3018,3.8468,4.256,4.4016,4.4899,4.5939,4.5106,4.5595,4.3969,4.0293,3.4206,3.4453,3.1637,2.6266,2.3423
Segment:G,9/5/2007,2.1576,2.0681,1.9826,1.9581,1.928,1.9961,2.1813,2.392,2.4983,3.1783,3.7046,4.1141,4.354,4.4861,4.6492,4.695,4.6434,4.4375,3.9179,3.4527,3.3799,3.1428,2.7072,2.5138
Segment:G,9/6/2007,2.2852,2.1681,2.1044,2.0593,2.0332,2.0888,2.3689,2.4891,2.5786,3.1687,3.9359,4.2492,4.3363,4.4981,4.6909,4.7875,4.8369,4.3802,4.0478,3.5594,3.3705,3.0338,2.6969,2.4553
Segment:G,9/7/2007,2.3666,2.2117,2.1613,2.0938,2.0523,2.12,2.3674,2.534,2.7004,3.3193,3.9918,4.2331,4.3273,4.5961,4.7424,5.0036,4.9099,4.5525,4.0988,3.61,3.4626,3.3301,3.0045,2.7395
Segment:G,9/8/2007,2.5363,2.3789,2.3163,2.2327,2.1706,2.127,2.1064,2.0913,2.2536,2.7342,3.2508,3.5006,3.551,3.8291,3.8725,3.9389,3.932,3.812,3.4634,3.3384,3.1821,3.0533,2.7368,2.4968
Segment:G,9/9/2007,2.2986,2.2342,2.181,2.0991,2.0391,1.9889,1.9604,1.9378,1.9932,2.1734,2.6493,2.9014,3.2186,3.5344,3.5231,3.5109,3.2411,3.0611,3.0665,3.0363,2.8734,2.7925,2.6603,2.6406
Segment:G,9/10/2007,2.4992,2.411,2.3181,2.2473,2.3117,2.3371,2.5548,2.7611,3.0057,3.7751,4.3158,4.6081,4.6148,4.6282,4.7995,4.8692,4.8627,4.2784,3.8453,3.5374,3.4972,3.0943,2.8273,2.5972
Segment:G,9/11/2007,2.3829,2.3077,2.2514,2.2211,2.2156,2.2519,2.5279,2.8494,2.981,3.5092,3.9549,4.2475,4.205,4.0905,3.9706,3.9623,3.7718,3.4953,3.2099,3.102,3.1761,2.8007,2.4934,2.2081
Segment:G,9/12/2007,2.1004,1.9956,1.9557,1.884,1.8834,1.9193,2.1335,2.2563,2.2772,2.8562,3.284,3.5033,3.5548,3.6342,3.8038,3.8076,3.7903,3.369,3.0192,2.8539,2.9442,2.5898,2.2488,2.0659
Segment:G,9/13/2007,1.9742,1.8872,1.8115,1.8092,1.7861,1.8033,1.9798,2.1153,2.2234,2.5596,3.087,3.3548,3.5217,3.7134,3.8662,3.8749,3.9064,3.6184,3.2816,3.0315,2.8964,2.6763,2.4295,2.1723
